date,instrument,open,high,low,close,volume,open_interest
1990-01-02,cl1s,21.8,22.92,21.79,22.89,22868.0,66308.0
1990-01-02,gc1s,401.0,404.6,400.2,402.1,20747.0,68855.0
1990-01-02,hg1s,1.047,1.064,1.043,1.062,3325.0,19735.0
1990-01-02,ho1s,0.7475,0.776,0.7415,0.7739,20280.0,33732.0
1990-01-02,pl1s,484.0,485.0,479.5,482.2,4561.0,13256.0
1990-01-02,rb1s,0.626,0.658,0.6225,0.6569,13854.0,18623.0
1990-01-02,si1s,5.24,5.35,5.225,5.253,12840.0,56833.0
1990-01-03,cl1s,23.2,23.8,23.0,23.68,45177.0,61428.0
1990-01-03,gc1s,398.6,399.0,394.5,396.4,35374.0,67036.0
1990-01-03,hg1s,1.067,1.098,1.067,1.0965,8627.0,19213.0
1990-01-03,ho1s,0.785,0.785,0.756,0.782,17564.0,33477.0
1990-01-03,pl1s,484.2,485.0,473.0,478.1,5498.0,14121.0
1990-01-03,rb1s,0.67,0.677,0.65,0.6723,12399.0,17273.0
1990-01-03,si1s,5.23,5.26,5.176,5.22,15752.0,58561.0
1990-01-04,cl1s,23.88,23.92,22.83,23.41,50061.0,60995.0
1990-01-04,gc1s,397.9,401.1,397.1,400.8,49740.0,67619.0
1990-01-04,hg1s,1.1,1.116,1.08,1.0855,8936.0,18052.0
1990-01-04,ho1s,0.78,0.782,0.712,0.7319,26956.0,28902.0
1990-01-04,pl1s,489.5,494.9,485.5,494.4,6208.0,15126.0
1990-01-04,rb1s,0.6825,0.6825,0.636,0.6529,12314.0,17711.0
1990-01-04,si1s,5.265,5.35,5.265,5.335,13996.0,58642.0
1990-01-05,cl1s,23.42,23.7,23.03,23.08,53070.0,57258.0
1990-01-05,gc1s,404.5,409.5,402.5,408.5,44225.0,69405.0
1990-01-05,hg1s,1.096,1.102,1.087,1.095,0.0,0.0
1990-01-05,ho1s,0.725,0.726,0.675,0.6783,25104.0,31108.0
1990-01-05,pl1s,498.0,503.5,497.0,499.8,4754.0,14840.0
1990-01-05,rb1s,0.65,0.653,0.613,0.6222,10698.0,17047.0
1990-01-05,si1s,5.34,5.4,5.275,5.385,18402.0,57956.0
1990-01-08,cl1s,22.6,22.6,21.55,21.62,39720.0,54644.0
1990-01-08,gc1s,406.2,407.6,404.7,405.0,47805.0,66886.0
1990-01-08,hg1s,1.096,1.118,1.085,1.1135,7477.0,19334.0
1990-01-08,ho1s,0.655,0.664,0.63,0.6433,28275.0,32464.0
1990-01-08,pl1s,497.0,499.0,491.0,492.2,2839.0,14736.0
1990-01-08,rb1s,0.595,0.619,0.584,0.5848,8661.0,16230.0
1990-01-08,si1s,5.335,5.377,5.306,5.31,19337.0,57370.0
1990-01-09,cl1s,21.5,22.12,21.48,22.07,50051.0,51669.0
1990-01-09,gc1s,404.7,406.3,404.3,406.2,27379.0,67086.0
1990-01-09,hg1s,1.12,1.125,1.1,1.102,5717.0,19322.0
1990-01-09,ho1s,0.645,0.668,0.64,0.6505,23478.0,26525.0
1990-01-09,pl1s,494.5,498.0,494.5,497.4,1777.0,15059.0
1990-01-09,rb1s,0.592,0.611,0.585,0.6088,8060.0,15274.0
1990-01-09,si1s,5.31,5.325,5.265,5.298,9366.0,56738.0
1990-01-10,cl1s,22.48,22.92,22.28,22.9,35340.0,52154.0
1990-01-10,gc1s,408.2,415.3,405.0,414.2,20497.0,71528.0
1990-01-10,hg1s,1.097,1.1,1.0785,1.081,5176.0,18978.0
1990-01-10,ho1s,0.657,0.67,0.643,0.6688,19602.0,26069.0
1990-01-10,pl1s,499.5,508.0,498.5,505.4,3477.0,15068.0
1990-01-10,rb1s,0.625,0.648,0.6235,0.6433,10524.0,14641.0
1990-01-10,si1s,5.32,5.395,5.32,5.368,9369.0,56127.0
1990-01-11,cl1s,22.78,23.18,22.52,23.14,37017.0,49768.0
1990-01-11,gc1s,415.2,415.8,413.2,415.6,61676.0,73892.0
1990-01-11,hg1s,1.09,1.095,1.0865,1.092,2661.0,19141.0
1990-01-11,ho1s,0.661,0.695,0.654,0.6932,17912.0,23955.0
1990-01-11,pl1s,504.5,505.8,502.6,503.6,1801.0,14812.0
1990-01-11,rb1s,0.639,0.656,0.637,0.655,7131.0,14369.0
1990-01-11,si1s,5.365,5.41,5.345,5.365,15217.0,56557.0
1990-01-12,cl1s,23.22,23.44,23.04,23.13,23215.0,53367.0
1990-01-12,gc1s,417.2,419.8,414.0,414.7,38452.0,70570.0
1990-01-12,hg1s,1.082,1.082,1.05,1.059,7911.0,19831.0
1990-01-12,ho1s,0.698,0.706,0.687,0.6965,19888.0,25858.0
1990-01-12,pl1s,509.0,514.6,506.0,507.5,4078.0,14838.0
1990-01-12,rb1s,0.661,0.665,0.6395,0.6509,6829.0,14805.0
1990-01-12,si1s,5.39,5.445,5.385,5.388,10343.0,56179.0
1990-01-15,cl1s,23.0,23.0,22.3,22.36,29499.0,45172.0
1990-01-15,gc1s,417.2,418.5,412.6,415.1,73981.0,62011.0
1990-01-15,hg1s,1.051,1.053,1.03,1.04,0.0,0.0
1990-01-15,ho1s,0.685,0.685,0.645,0.646,16576.0,22961.0
1990-01-15,pl1s,511.0,511.0,500.5,506.1,2514.0,14397.0
1990-01-15,rb1s,0.6425,0.649,0.627,0.6359,6084.0,12909.0
1990-01-15,si1s,5.39,5.395,5.28,5.298,19525.0,56314.0
1990-01-16,cl1s,22.19,22.94,21.94,22.78,25593.0,39406.0
1990-01-16,gc1s,414.3,415.9,409.0,412.2,43948.0,57756.0
1990-01-16,hg1s,1.03,1.055,1.023,1.045,0.0,0.0
1990-01-16,ho1s,0.634,0.654,0.627,0.6403,14669.0,20586.0
1990-01-16,pl1s,503.0,504.8,499.5,502.0,2728.0,13982.0
1990-01-16,rb1s,0.632,0.655,0.628,0.643,6496.0,12804.0
1990-01-16,si1s,5.285,5.34,5.255,5.285,14608.0,54440.0
1990-01-17,cl1s,22.36067188,22.51791993,22.11955821,22.28728946,38368.04477612,70432.67251975
