threshold,precision,recall,f1,accuracy,n_trades
0.25,0.645,1.0,0.784,0.645,107
0.26,0.645,1.0,0.784,0.645,107
0.27,0.645,1.0,0.784,0.645,107
0.28,0.645,1.0,0.784,0.645,107
0.29,0.645,1.0,0.784,0.645,107
0.3,0.645,1.0,0.784,0.645,107
0.31,0.645,1.0,0.784,0.645,107
0.32,0.645,1.0,0.784,0.645,107
0.33,0.645,1.0,0.784,0.645,107
0.34,0.645,1.0,0.784,0.645,107
0.35,0.645,1.0,0.784,0.645,107
0.36,0.645,1.0,0.784,0.645,107
0.37,0.645,1.0,0.784,0.645,107
0.38,0.645,1.0,0.784,0.645,107
0.39,0.645,1.0,0.784,0.645,107
0.4,0.645,1.0,0.784,0.645,107
0.41,0.645,1.0,0.784,0.645,107
0.42,0.645,1.0,0.784,0.645,107
0.43,0.645,1.0,0.784,0.645,107
0.44,0.645,1.0,0.784,0.645,107
0.45,0.645,1.0,0.784,0.645,107
0.46,0.645,1.0,0.784,0.645,107
0.47,0.645,1.0,0.784,0.645,107
0.48,0.645,1.0,0.784,0.645,107
0.49,0.645,1.0,0.784,0.645,107
0.5,0.645,1.0,0.784,0.645,107
0.51,0.645,1.0,0.784,0.645,107
0.52,0.638,0.971,0.77,0.626,105
0.53,0.635,0.957,0.763,0.617,104
0.54,0.626,0.899,0.738,0.589,99
0.55,0.618,0.797,0.696,0.551,89
0.56,0.604,0.42,0.496,0.449,48
0.57,0.69,0.29,0.408,0.458,29
0.58,0.696,0.232,0.348,0.439,23
0.59,0.65,0.188,0.292,0.411,20
0.6,0.533,0.116,0.19,0.364,15
0.61,0.538,0.101,0.171,0.364,13
0.62,0.545,0.087,0.15,0.364,11
0.63,0.444,0.058,0.103,0.346,9
0.64,0.0,0.0,0.0,0.346,1
0.65,0.0,0.0,0.0,0.346,1
0.66,0.0,0.0,0.0,0.355,0
0.67,0.0,0.0,0.0,0.355,0
0.68,0.0,0.0,0.0,0.355,0
0.69,0.0,0.0,0.0,0.355,0
0.7,0.0,0.0,0.0,0.355,0
0.71,0.0,0.0,0.0,0.355,0
0.72,0.0,0.0,0.0,0.355,0
0.73,0.0,0.0,0.0,0.355,0
0.74,0.0,0.0,0.0,0.355,0
0.75,0.0,0.0,0.0,0.355,0
